perl-Crypt-SSLeay,
perl-Data-Dumper,
perl-DB_File,
perl-Devel-PPPort,
perl-Digest,
perl-Digest-MD5,
perl-Digest-SHA,
perl-Encode,
perl-Env,
perl-experimental,
perl-Exporter,
perl-ExtUtils-CBuilder,
perl-ExtUtils-Install,
perl-ExtUtils-MakeMaker,
perl-ExtUtils-Manifest,
perl-ExtUtils-ParseXS,
perl-File-Fetch,
perl-File-Path,
perl-File-Temp,
perl-Filter,
perl-Filter-Simple,
perl-generators,
perl-Getopt-Long,
perl-HTTP-Tiny,
perl-IO-Compress,
perl-IO-Socket-IP,
perl-IPC-Cmd,
perl-IPC-SysV,
perl-JSON-PP,
perl-libnet,
perl-Locale-Codes,
perl-Locale-Maketext,
perl-LWP-Protocol-https,
perl-Math-BigInt,
perl-Math-BigInt-FastCalc,
perl-Math-BigRat,
perl-MIME-Base64,
perl-Module-CoreList,
perl-Module-Load,
perl-Module-Load-Conditional,
perl-Module-Metadata,
perl-Mozilla-CA,
perl-Params-Check,
perl-parent,
perl-PathTools,
perl-Perl-OSType,
perl-perlfaq,
perl-PerlIO-via-QuotedPrint,
perl-Pod-Checker,
perl-Pod-Escapes,
perl-Pod-Parser,
perl-Pod-Perldoc,
perl-Pod-Simple,
perl-Pod-Usage,
perl-podlators,
perl-Scalar-List-Utils,
perl-Socket,
perl-Storable,
perl-Sys-Syslog,
perl-Term-ANSIColor,
perl-Term-Cap,
perl-Test-Harness,
perl-Test-Simple,
perl-Text-Balanced,
perl-Text-ParseWords,
perl-Text-Tabs+Wrap,
perl-Thread-Queue,
perl-threads,
perl-threads-shared,
perl-Time-HiRes,
perl-Time-Local,
perl-Unicode-Collate,
perl-Unicode-Normalize,
perl-version,
php,
php-pecl-apcu,
php-pecl-memcache,
pidgin,
pidgin-sipe,
pinentry,
pinfo,
pipewire,
pkpgcounter,
pnm2ppa,
policycoreutils,
popt,
portreserve,
postfix,
postgresql,
postgresql-jdbc,
postgresql-odbc,
pothana2000-fonts,
powerpc-utils,"needed to build the `hardware-support` module; needed to build the `hardware-support` module; needed to build the `hardware-support` module; ; "
powerpc-utils-python,
powertop,
ppc64-diag,"needed to build the `hardware-support` module; "
ppc64-utils,"needed to build the `hardware-support` module"
procmail,
ps_mem,
psacct,
ptouch-driver,
pyOpenSSL,
python-blivet,
python-configshell,
python-di,
python-ipaddr,
python-kmod,
python-pip,
python-psycopg2,
python-rhsm,
python-rtslib,
python-setproctitle,
python-setuptools,
python3,
qclib,
qemu,
qgnomeplatform,
qpdf,
qt,
qt5,
qt5-doc,
qt5-qt3d,
qt5-qtbase,
qt5-qtcanvas3d,
qt5-qtconnectivity,
qt5-qtdeclarative,
qt5-qtdoc,
qt5-qtenginio,
qt5-qtgraphicaleffects,
qt5-qtimageformats,
qt5-qtlocation,
qt5-qtmultimedia,
qt5-qtquickcontrols,
qt5-qtquickcontrols2,
qt5-qtscript,
qt5-qtsensors,
qt5-qtserialbus,
qt5-qtserialport,
qt5-qtsvg,
qt5-qttools,
qt5-qttranslations,
qt5-qtwayland,
qt5-qtwebchannel,
qt5-qtwebsockets,
qt5-qtx11extras,
qt5-qtxmlpatterns,
quagga,
quota,
rasdaemon,
rdist,
rdma-core,
realmd,
rear,
redhat-lsb,
redis,
resource-agents,
rhn-client-tools,
rhnlib,
rhnsd,
rhythmbox,
rng-tools,
rpcbind,
rpm,
rpmlint,
rstp,
rsync,
rsyslog,
ruby,
rubygem-abrt,
rubygem-bundler,
s390utils,"needed to build the `hardware-support` module"
saab-fonts,
samba,
samyak-fonts,
sane-backends,
sane-frontends,
sanlock,
sarai-fonts,
sbd,
scap-security-guide,
scap-workbench,
scl-utils,
scrub,
seabios,
seahorse,
seahorse-nautilus,
seahorse-sharing,
selinux-policy,
sendmail,
servicelog,
setools,
setroubleshoot,
setroubleshoot-plugins,
setserial,
sg3_utils,
shadow-utils,
sil-abyssinica-fonts,
sil-mingzat-fonts,
sil-nuosu-fonts,
sil-padauk-fonts,
sil-scheherazade-fonts,
slapi-nis,
SLOF,
smartmontools,
smc-fonts,
snapper,
sos,
spamassassin,
spice,
spice-gtk,
spice-protocol,
spice-vdagent,
splix,
sqlite,
squid,
sshpass,
sssd,
stix-fonts,
strace,"needed for pungi generate installation media"
subscription-manager,
subversion,
sudo,
supermin,
sushi,
swig,
sysstat,
system-config-kickstart,
system-config-printer,
system-storage-manager,
tabish-eeyek-fonts,
tang,
targetcli,
targetd,
tboot,
tcl,
tclx,
tcpdump,
tcsh,
tex-fonts-hebrew,
tftp,
thai-scalable-fonts,
thunderbird,
tibetan-machine-uni-fonts,
tigervnc,
timedatex,
tk,
tmpwatch,
tog-pegasus,
totem,
tpm-quote-tools,
tpm-tools,
tpm2-tools,
tpm2-tss,
trace-cmd,
traceroute,
tree,
trousers,
tss2,
tuned,
unbound,
units,
unixODBC,
unixODBC-gui-qt,
usb_modeswitch,
usb_modeswitch-data,
usbguard,
usbutils,
util-linux,
varnish,
varnish-modules,
vemana2000-fonts,
vhostmd,
vim,
vinagre,
virt-manager,
virt-top,
virt-viewer,
virt-who,
vlgothic-fonts,
vsftpd,
WALinuxAgent,
watchdog,
wayland,
wayland-protocols,
webkitgtk4,
wget,
wireshark,
wpa_supplicant,
wqy-microhei-fonts,
wqy-unibit-fonts,
wqy-zenhei-fonts,
x3270,
xdelta,
xdg-desktop-portal,
xdg-desktop-portal-gtk,
xdg-user-dirs-gtk,
xfsdump,
xfsprogs,
xinetd,
xorg-sgml-doctools,
xrestop,
xsane,
xterm,
xvattr,
yp-tools,
ypbind,
ypserv,
zaf,
zip,
zsh,
zziplib,
